season,type,date
2010-11,start,10/7/2010
2010-11,deadline,02/28/2011
2011-12,start,10/06/2011
2011-12,deadline,02/27/2012
2012-13,start,01/19/2013
2012-13,deadline,04/03/2013
2013-14,start,10/01/2013
2013-14,deadline,03/05/2014
2014-15,start,10/08/2014
2014-15,deadline,03/02/2015
2015-16,start,10/07/2015
2015-16,deadline,02/29/2016
2016-17,start,10/12/2016
2016-17,deadline,03/01/2017
2017-18,start,10/04/2017
2017-18,deadline,02/26/2018
2018-19,start,10/03/2018
2018-19,deadline,02/25/2019
2019-20,start,10/2/2019
2019-20,deadline,02/24/2020
2020-21,start,01/13/2021
2020-21,deadline,04/12/2021
2021-22,start,10/12/2021
2021-22,deadline,03/21/2022
