team,start_date,end_date,name,wikipedia_date
Anaheim Ducks,"August 6, 1998","April 19, 2002",Pierre Gauthier,
Anaheim Ducks,"May 2, 2002","June 8, 2004",Bryan Murray,
Anaheim Ducks,"June 8, 2004","June 20, 2005",Al Coates,
Anaheim Ducks,"June 20, 2005","November 12, 2008",Brian Bruke,
Anaheim Ducks,"November 12, 2008",Present,Bob Murray,
Arizona Coyotes,"December 11, 1996","February 17, 2001",Bobby Smith,
Arizona Coyotes,"February 17, 2001","August 28, 2001",Cliff Fletcher,
Arizona Coyotes,"August 28, 2001","April 11, 2007",Mike Barnett,
Arizona Coyotes,"May 29, 2007","April 11, 2016",Don Maloney,
Arizona Coyotes,"May 5, 2016","July 26, 2020",John Chayka,
Arizona Coyotes,"July 26, 2020","September 16, 2020",Steve Sullivan,
Arizona Coyotes,"September 16, 2020",Present,Bill Armstrong,
Atlanta Thrashers,"July 1, 1998","April 14, 2010",Don Waddell,
Atlanta Thrashers,"April 14, 2010","June 4, 2011",Rick Dudley,
Atlanta Thrashers,"June 8, 2011",Present,Kevin Cheveldayoff,
Boston Bruins,"October 5, 1972","November 1, 2000",Harry Sinden,
Boston Bruins,"November 1, 2000","March 25, 2006",Mike O'Connell,
Boston Bruins,"March 25, 2006","May 26, 2006",Jeff Gorton,
Boston Bruins,"May 26, 2006","April 15, 2015",Peter Chiarelli,
Boston Bruins,"May 20, 2015",Present,Don Sweeney,
Buffalo Sabres,"June 11, 1997 "," November 13, 2013",Darcy Regier,"June 11, 1997 – November 13, 2013"
Buffalo Sabres,"January 9, 2014 "," April 20, 2017",Tim Murray,"January 9, 2014 – April 20, 2017"
Buffalo Sabres,"May 11, 2017 "," June 16, 2020",Jason Botterill,"May 11, 2017 – June 16, 2020"
Buffalo Sabres,"June 16, 2020 ", present,Kevyn Adams,"June 16, 2020 – present"
Calgary Flames,"June 6, 2000","April 11, 2003",Craig Button,
Calgary Flames,"April 11, 2003","December 28, 2010",Darryl Sutter,
Calgary Flames,"December 28, 2010","December 12, 2013",Jay Feaster,
Calgary Flames,"December 12, 2013","April 28, 2014",Brian Burke,
Calgary Flames,"April 28, 2014",Present,Brad Treliving,
Carolina Hurricanes,"June 28, 1994 "," April 28, 2014",Jim Rutherford,"June 28, 1994 – April 28, 2014"
