season,date,team,points,division,conference
2019-20,2019-10-04,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-06,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-08,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-10,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-11,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-14,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-17,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-19,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-21,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-23,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-25,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-27,Anaheim Ducks,2,Pacific,Western
2019-20,2019-10-28,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-30,Anaheim Ducks,2,Pacific,Western
2019-20,2019-11-02,Anaheim Ducks,2,Pacific,Western
2019-20,2019-11-04,Anaheim Ducks,1,Pacific,Western
2019-20,2019-11-06,Anaheim Ducks,0,Pacific,Western
2019-20,2019-11-11,Anaheim Ducks,0,Pacific,Western
2019-20,2019-11-13,Anaheim Ducks,1,Pacific,Western
2019-20,2019-11-15,Anaheim Ducks,0,Pacific,Western
2019-20,2019-11-17,Anaheim Ducks,2,Pacific,Western
2019-20,2019-11-19,Anaheim Ducks,0,Pacific,Western
2019-20,2019-11-22,Anaheim Ducks,1,Pacific,Western
2019-20,2019-11-24,Anaheim Ducks,0,Pacific,Western
2019-20,2019-11-26,Anaheim Ducks,2,Pacific,Western
2019-20,2019-11-28,Anaheim Ducks,1,Pacific,Western
2019-20,2019-11-29,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-03,Anaheim Ducks,2,Pacific,Western
2019-20,2019-12-07,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-08,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-11,Anaheim Ducks,2,Pacific,Western
2019-20,2019-12-13,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-14,Anaheim Ducks,2,Pacific,Western
2019-20,2019-12-18,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-19,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-21,Anaheim Ducks,2,Pacific,Western
2019-20,2019-12-22,Anaheim Ducks,0,Pacific,Western
2019-20,2019-12-28,Anaheim Ducks,2,Pacific,Western
2019-20,2019-12-30,Anaheim Ducks,1,Pacific,Western
2019-20,2019-12-31,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-03,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-06,Anaheim Ducks,2,Pacific,Western
2019-20,2020-01-08,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-10,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-12,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-14,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-17,Anaheim Ducks,2,Pacific,Western
2019-20,2020-01-18,Anaheim Ducks,2,Pacific,Western
2019-20,2020-01-28,Anaheim Ducks,0,Pacific,Western
2019-20,2020-01-30,Anaheim Ducks,2,Pacific,Western
2019-20,2020-02-01,Anaheim Ducks,0,Pacific,Western
2019-20,2020-02-02,Anaheim Ducks,2,Pacific,Western
2019-20,2020-02-05,Anaheim Ducks,2,Pacific,Western
2019-20,2020-02-07,Anaheim Ducks,1,Pacific,Western
2019-20,2020-02-08,Anaheim Ducks,1,Pacific,Western
2019-20,2020-02-09,Anaheim Ducks,2,Pacific,Western
2019-20,2020-02-14,Anaheim Ducks,0,Pacific,Western
2019-20,2020-02-16,Anaheim Ducks,2,Pacific,Western
2019-20,2020-02-17,Anaheim Ducks,0,Pacific,Western
2019-20,2020-02-20,Anaheim Ducks,0,Pacific,Western
2019-20,2020-02-22,Anaheim Ducks,0,Pacific,Western
2019-20,2020-02-24,Anaheim Ducks,1,Pacific,Western
2019-20,2020-02-26,Anaheim Ducks,2,Pacific,Western
2019-20,2020-02-29,Anaheim Ducks,2,Pacific,Western
2019-20,2020-03-02,Anaheim Ducks,0,Pacific,Western
2019-20,2020-03-04,Anaheim Ducks,0,Pacific,Western
2019-20,2020-03-05,Anaheim Ducks,2,Pacific,Western
2019-20,2020-03-07,Anaheim Ducks,2,Pacific,Western
2019-20,2020-03-09,Anaheim Ducks,1,Pacific,Western
2019-20,2020-03-11,Anaheim Ducks,2,Pacific,Western
2019-20,2020-03-12,Anaheim Ducks,0,Pacific,Western
2019-20,2019-10-04,Arizona Coyotes,0,Pacific,Western
2019-20,2019-10-06,Arizona Coyotes,0,Pacific,Western
2019-20,2019-10-11,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-13,Arizona Coyotes,1,Pacific,Western
2019-20,2019-10-16,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-18,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-19,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-22,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-24,Arizona Coyotes,0,Pacific,Western
2019-20,2019-10-25,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-28,Arizona Coyotes,2,Pacific,Western
2019-20,2019-10-31,Arizona Coyotes,0,Pacific,Western
2019-20,2019-11-03,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-05,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-06,Arizona Coyotes,1,Pacific,Western
2019-20,2019-11-08,Arizona Coyotes,0,Pacific,Western
2019-20,2019-11-10,Arizona Coyotes,0,Pacific,Western
2019-20,2019-11-12,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-13,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-15,Arizona Coyotes,0,Pacific,Western
2019-20,2019-11-16,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-19,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-22,Arizona Coyotes,0,Pacific,Western
2019-20,2019-11-23,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-25,Arizona Coyotes,1,Pacific,Western
2019-20,2019-11-28,Arizona Coyotes,2,Pacific,Western
2019-20,2019-11-29,Arizona Coyotes,1,Pacific,Western
2019-20,2019-12-01,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-04,Arizona Coyotes,2,Pacific,Western
2019-20,2019-12-06,Arizona Coyotes,2,Pacific,Western
2019-20,2019-12-07,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-09,Arizona Coyotes,2,Pacific,Western
2019-20,2019-12-11,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-13,Arizona Coyotes,2,Pacific,Western
2019-20,2019-12-15,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-18,Arizona Coyotes,2,Pacific,Western
2019-20,2019-12-20,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-23,Arizona Coyotes,2,Pacific,Western
2019-20,2019-12-24,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-29,Arizona Coyotes,0,Pacific,Western
2019-20,2019-12-30,Arizona Coyotes,0,Pacific,Western
2019-20,2020-01-01,Arizona Coyotes,2,Pacific,Western
2019-20,2020-01-03,Arizona Coyotes,2,Pacific,Western
2019-20,2020-01-05,Arizona Coyotes,2,Pacific,Western
2019-20,2020-01-08,Arizona Coyotes,2,Pacific,Western
2019-20,2020-01-10,Arizona Coyotes,0,Pacific,Western
2019-20,2020-01-11,Arizona Coyotes,0,Pacific,Western
2019-20,2020-01-12,Arizona Coyotes,1,Pacific,Western
2019-20,2020-01-15,Arizona Coyotes,2,Pacific,Western
2019-20,2020-01-17,Arizona Coyotes,0,Pacific,Western
2019-20,2020-01-18,Arizona Coyotes,0,Pacific,Western
2019-20,2020-01-30,Arizona Coyotes,0,Pacific,Western
2019-20,2020-01-31,Arizona Coyotes,1,Pacific,Western
2019-20,2020-02-02,Arizona Coyotes,1,Pacific,Western
2019-20,2020-02-05,Arizona Coyotes,2,Pacific,Western
2019-20,2020-02-07,Arizona Coyotes,0,Pacific,Western
2019-20,2020-02-08,Arizona Coyotes,0,Pacific,Western
2019-20,2020-02-11,Arizona Coyotes,2,Pacific,Western
2019-20,2020-02-12,Arizona Coyotes,1,Pacific,Western
2019-20,2020-02-14,Arizona Coyotes,0,Pacific,Western
2019-20,2020-02-16,Arizona Coyotes,2,Pacific,Western
2019-20,2020-02-17,Arizona Coyotes,2,Pacific,Western
2019-20,2020-02-20,Arizona Coyotes,0,Pacific,Western
2019-20,2020-02-21,Arizona Coyotes,0,Pacific,Western
2019-20,2020-02-23,Arizona Coyotes,2,Pacific,Western
2019-20,2020-02-26,Arizona Coyotes,0,Pacific,Western
2019-20,2020-03-01,Arizona Coyotes,2,Pacific,Western
2019-20,2020-03-05,Arizona Coyotes,2,Pacific,Western
2019-20,2020-03-07,Arizona Coyotes,0,Pacific,Western
2019-20,2020-03-10,Arizona Coyotes,0,Pacific,Western
2019-20,2019-10-04,Boston Bruins,2,Atlantic,Eastern
2019-20,2019-10-06,Boston Bruins,2,Atlantic,Eastern
2019-20,2019-10-09,Boston Bruins,2,Atlantic,Eastern
