season,date,div_conf_name,points_threshold
2011-12,2011-06-01,Pacific,0
2011-12,2011-06-02,Pacific,0
2011-12,2011-06-03,Pacific,0
2011-12,2011-06-04,Pacific,0
2011-12,2011-06-05,Pacific,0
2011-12,2011-06-06,Pacific,0
2011-12,2011-06-07,Pacific,0
2011-12,2011-06-08,Pacific,0
2011-12,2011-06-09,Pacific,0
2011-12,2011-06-10,Pacific,0
2011-12,2011-06-11,Pacific,0
2011-12,2011-06-12,Pacific,0
2011-12,2011-06-13,Pacific,0
2011-12,2011-06-14,Pacific,0
2011-12,2011-06-15,Pacific,0
2011-12,2011-06-16,Pacific,0
2011-12,2011-06-17,Pacific,0
2011-12,2011-06-18,Pacific,0
2011-12,2011-06-19,Pacific,0
2011-12,2011-06-20,Pacific,0
2011-12,2011-06-21,Pacific,0
2011-12,2011-06-22,Pacific,0
2011-12,2011-06-23,Pacific,0
2011-12,2011-06-24,Pacific,0
2011-12,2011-06-25,Pacific,0
2011-12,2011-06-26,Pacific,0
2011-12,2011-06-27,Pacific,0
2011-12,2011-06-28,Pacific,0
2011-12,2011-06-29,Pacific,0
2011-12,2011-06-30,Pacific,0
2011-12,2011-07-01,Pacific,0
2011-12,2011-07-02,Pacific,0
2011-12,2011-07-03,Pacific,0
2011-12,2011-07-04,Pacific,0
2011-12,2011-07-05,Pacific,0
2011-12,2011-07-06,Pacific,0
2011-12,2011-07-07,Pacific,0
2011-12,2011-07-08,Pacific,0
2011-12,2011-07-09,Pacific,0
2011-12,2011-07-10,Pacific,0
2011-12,2011-07-11,Pacific,0
2011-12,2011-07-12,Pacific,0
2011-12,2011-07-13,Pacific,0
2011-12,2011-07-14,Pacific,0
2011-12,2011-07-15,Pacific,0
2011-12,2011-07-16,Pacific,0
2011-12,2011-07-17,Pacific,0
2011-12,2011-07-18,Pacific,0
2011-12,2011-07-19,Pacific,0
2011-12,2011-07-20,Pacific,0
2011-12,2011-07-21,Pacific,0
2011-12,2011-07-22,Pacific,0
2011-12,2011-07-23,Pacific,0
2011-12,2011-07-24,Pacific,0
2011-12,2011-07-25,Pacific,0
2011-12,2011-07-26,Pacific,0
2011-12,2011-07-27,Pacific,0
2011-12,2011-07-28,Pacific,0
2011-12,2011-07-29,Pacific,0
2011-12,2011-07-30,Pacific,0
2011-12,2011-07-31,Pacific,0
2011-12,2011-08-01,Pacific,0
2011-12,2011-08-02,Pacific,0
2011-12,2011-08-03,Pacific,0
2011-12,2011-08-04,Pacific,0
2011-12,2011-08-05,Pacific,0
2011-12,2011-08-06,Pacific,0
2011-12,2011-08-07,Pacific,0
2011-12,2011-08-08,Pacific,0
2011-12,2011-08-09,Pacific,0
2011-12,2011-08-10,Pacific,0
2011-12,2011-08-11,Pacific,0
2011-12,2011-08-12,Pacific,0
2011-12,2011-08-13,Pacific,0
2011-12,2011-08-14,Pacific,0
2011-12,2011-08-15,Pacific,0
2011-12,2011-08-16,Pacific,0
2011-12,2011-08-17,Pacific,0
2011-12,2011-08-18,Pacific,0
2011-12,2011-08-19,Pacific,0
2011-12,2011-08-20,Pacific,0
2011-12,2011-08-21,Pacific,0
2011-12,2011-08-22,Pacific,0
2011-12,2011-08-23,Pacific,0
2011-12,2011-08-24,Pacific,0
2011-12,2011-08-25,Pacific,0
2011-12,2011-08-26,Pacific,0
2011-12,2011-08-27,Pacific,0
2011-12,2011-08-28,Pacific,0
2011-12,2011-08-29,Pacific,0
2011-12,2011-08-30,Pacific,0
2011-12,2011-08-31,Pacific,0
2011-12,2011-09-01,Pacific,0
2011-12,2011-09-02,Pacific,0
2011-12,2011-09-03,Pacific,0
2011-12,2011-09-04,Pacific,0
2011-12,2011-09-05,Pacific,0
2011-12,2011-09-06,Pacific,0
2011-12,2011-09-07,Pacific,0
2011-12,2011-09-08,Pacific,0
2011-12,2011-09-09,Pacific,0
2011-12,2011-09-10,Pacific,0
2011-12,2011-09-11,Pacific,0
2011-12,2011-09-12,Pacific,0
2011-12,2011-09-13,Pacific,0
2011-12,2011-09-14,Pacific,0
2011-12,2011-09-15,Pacific,0
2011-12,2011-09-16,Pacific,0
2011-12,2011-09-17,Pacific,0
2011-12,2011-09-18,Pacific,0
2011-12,2011-09-19,Pacific,0
2011-12,2011-09-20,Pacific,0
2011-12,2011-09-21,Pacific,0
2011-12,2011-09-22,Pacific,0
2011-12,2011-09-23,Pacific,0
2011-12,2011-09-24,Pacific,0
